payment_id,provider,payment_date,amount,currency
pay_0001,PSP_A,2026-08-22,1484.36,EUR
pay_0002,PSP_A,2026-08-22,869.68,EUR
pay_0003,PSP_B,2026-08-22,1871.23,USD
pay_0004,PSP_A,2026-08-22,4365.17,EUR
pay_0005,PSP_C,2026-08-23,2109.10,USD
pay_0006,PSP_A,2026-08-23,4467.70,EUR
pay_0007,PSP_A,2026-08-23,4281.51,EUR
pay_0008,PSP_C,2026-08-24,426.50,ILS
pay_0009,PSP_C,2026-08-24,11462.25,ILS
pay_0010,PSP_A,2026-08-24,1452.82,EUR
pay_0011,PSP_A,2026-08-24,2296.17,EUR
pay_0012,PSP_C,2026-08-24,370.30,USD
pay_0013,PSP_C,2026-08-24,5470.65,ILS
pay_0014,PSP_B,2026-08-25,1756.35,USD
pay_0015,PSP_A,2026-08-25,350.59,USD
pay_0016,PSP_A,2026-08-25,1582.92,EUR
pay_0017,PSP_A,2026-08-25,636.36,EUR
pay_0018,PSP_A,2026-08-25,2623.68,USD
pay_0019,PSP_A,2026-08-25,148.09,EUR
pay_0020,PSP_B,2026-08-25,2701.39,ILS
pay_0021,PSP_A,2026-08-26,4625.90,USD
pay_0022,PSP_A,2026-08-26,2743.11,EUR
pay_0023,PSP_A,2026-08-26,1244.17,EUR
pay_0024,PSP_A,2026-08-26,3038.09,USD
pay_0025,PSP_C,2026-08-26,11257.46,ILS
pay_0026,PSP_A,2026-08-26,2703.04,EUR
pay_0027,PSP_C,2026-08-27,2194.86,USD
pay_0028,PSP_B,2026-08-27,10225.84,ILS
pay_0029,PSP_C,2026-08-27,3552.20,USD
pay_0030,PSP_C,2026-08-27,18420.27,ILS
pay_0031,PSP_B,2026-08-27,18315.47,ILS
pay_0032,PSP_B,2026-08-27,979.03,ILS
pay_0033,PSP_A,2026-08-27,3795.59,EUR
pay_0034,PSP_A,2026-08-27,1432.21,EUR
pay_0035,PSP_B,2026-08-27,2535.65,ILS
pay_0036,PSP_A,2026-08-28,3143.91,EUR
pay_0037,PSP_A,2026-08-28,3498.88,EUR
pay_0038,PSP_B,2026-08-28,4425.86,USD
pay_0039,PSP_C,2026-08-28,864.58,EUR
pay_0040,PSP_C,2026-08-28,3765.63,EUR
pay_0041,PSP_A,2026-08-28,4755.25,EUR
pay_0042,PSP_A,2026-08-28,2320.28,EUR
pay_0043,PSP_C,2026-08-28,4580.08,USD
pay_0044,PSP_A,2026-08-28,3998.93,EUR
pay_0045,PSP_B,2026-08-28,5582.65,ILS
pay_0046,PSP_A,2026-08-28,3127.96,USD
pay_0047,PSP_A,2026-08-29,2946.42,USD
pay_0048,PSP_C,2026-08-29,879.58,EUR
pay_0049,PSP_A,2026-08-29,431.84,EUR
pay_0050,PSP_A,2026-08-29,3095.00,USD
pay_0051,PSP_A,2026-08-30,131.13,EUR
pay_0052,PSP_A,2026-08-30,4147.35,USD
pay_0053,PSP_B,2026-08-30,3576.64,USD
pay_0054,PSP_A,2026-08-31,4649.88,EUR
pay_0055,PSP_A,2026-08-31,221.94,EUR
pay_0056,PSP_A,2026-08-31,2663.98,EUR
pay_0057,PSP_A,2026-08-31,1134.45,USD
pay_0058,PSP_A,2026-08-31,3110.77,EUR
pay_0059,PSP_C,2026-08-31,3956.37,EUR
pay_0060,PSP_A,2026-09-01,4434.47,EUR
pay_0061,PSP_C,2026-09-01,2209.88,ILS
pay_0062,PSP_C,2026-09-01,12556.06,ILS
pay_0063,PSP_C,2026-09-01,2545.59,USD
pay_0064,PSP_B,2026-09-01,12117.10,ILS
pay_0065,PSP_A,2026-09-01,489.33,EUR
pay_0066,PSP_A,2026-09-01,3473.33,EUR
pay_0067,PSP_A,2026-09-01,4601.93,EUR
pay_0068,PSP_A,2026-09-01,1050.43,EUR
pay_0069,PSP_B,2026-09-02,16591.72,ILS
pay_0070,PSP_A,2026-09-02,2862.56,EUR
pay_0071,PSP_B,2026-09-02,2635.72,USD
pay_0072,PSP_C,2026-09-02,6484.89,ILS
pay_0073,PSP_C,2026-09-02,11627.91,ILS
pay_0074,PSP_A,2026-09-02,4809.41,USD
pay_0075,PSP_A,2026-09-02,3411.95,USD
pay_0076,PSP_C,2026-09-02,308.96,EUR
pay_0077,PSP_A,2026-09-02,2404.55,EUR
pay_0078,PSP_B,2026-09-03,10102.32,ILS
pay_0079,PSP_A,2026-09-03,4643.84,USD
pay_0080,PSP_B,2026-09-03,4548.94,ILS
pay_0081,PSP_B,2026-09-03,4764.43,USD
pay_0082,PSP_A,2026-09-03,1175.38,EUR
pay_0083,PSP_C,2026-09-03,4030.70,USD
pay_0084,PSP_A,2026-09-03,4212.42,EUR
pay_0085,PSP_A,2026-09-03,3046.33,EUR
