settlement_id,payment_id,settlement_date,amount,currency
stl_0001,pay_0001,2026-08-26,1484.36,EUR
stl_0002,pay_0002,2026-08-26,869.68,EUR
stl_0003,pay_0003,2026-08-25,1871.23,USD
stl_0004,pay_0004,2026-08-26,4365.17,EUR
stl_0005,pay_0005,2026-08-26,2109.10,USD
stl_0006,pay_0006,2026-08-26,4467.70,EUR
stl_0007,pay_0007,2026-08-26,4281.51,EUR
stl_0008,pay_0008,2026-08-27,426.50,ILS
stl_0009,pay_0009,2026-08-27,11462.25,ILS
stl_0010,pay_0010,2026-08-26,1452.82,EUR
stl_0011,pay_0011,2026-08-26,2296.17,EUR
stl_0012,pay_0012,2026-08-27,370.30,USD
stl_0013,pay_0013,2026-08-27,5470.65,ILS
stl_0014,pay_0014,2026-08-26,1756.35,USD
stl_0015,pay_0015,2026-08-27,350.59,USD
stl_0016,pay_0016,2026-08-27,1582.92,EUR
stl_0017,pay_0017,2026-08-27,636.36,EUR
stl_0018,pay_0018,2026-08-27,2623.68,USD
stl_0019,pay_0019,2026-08-27,148.09,EUR
stl_0020,pay_0020,2026-08-26,2701.39,ILS
stl_0021,pay_0021,2026-08-31,4625.90,USD
stl_0022,pay_0022,2026-08-31,2743.11,EUR
stl_0023,pay_0023,2026-08-31,1244.17,EUR
stl_0024,pay_0024,2026-08-31,3038.09,USD
stl_0025,pay_0025,2026-08-29,11257.46,ILS
stl_0026,pay_0026,2026-09-02,2703.04,EUR
stl_0027,pay_0027,2026-08-30,2194.86,USD
stl_0028,pay_0028,2026-08-28,10225.84,ILS
stl_0029,pay_0029,2026-08-31,3552.20,USD
stl_0030,pay_0030,2026-08-30,18420.27,ILS
stl_0031,pay_0031,2026-08-28,18315.47,ILS
stl_0032,pay_0032,2026-08-31,979.03,ILS
stl_0033,pay_0033,2026-09-01,3795.59,EUR
stl_0034,pay_0034,2026-09-01,1432.21,EUR
stl_0035,pay_0036,2026-09-02,3143.91,EUR
stl_0036,pay_0037,2026-09-02,3498.88,EUR
stl_0037,pay_0040,2026-08-31,3765.63,EUR
stl_0038,pay_0041,2026-09-02,4755.25,EUR
stl_0039,pay_0042,2026-09-02,2320.28,EUR
stl_0040,pay_0043,2026-08-31,4580.08,USD
stl_0041,pay_0044,2026-09-02,3998.93,EUR
stl_0042,pay_0045,2026-08-31,5582.65,ILS
stl_0043,pay_0046,2026-09-02,3127.96,USD
stl_0044,pay_0047,2026-09-02,2946.42,USD
stl_0045,pay_0048,2026-09-01,879.58,EUR
stl_0046,pay_0049,2026-09-02,431.84,EUR
stl_0047,pay_0050,2026-09-02,3095.00,USD
stl_0048,pay_0051,2026-09-02,131.13,EUR
stl_0049,pay_0052,2026-09-02,4147.35,USD
stl_0050,pay_0053,2026-09-01,3576.64,USD
stl_0051,pay_0055,2026-09-02,221.94,EUR
stl_0052,pay_0056,2026-09-02,2663.98,EUR
stl_0053,pay_0057,2026-09-02,1134.45,USD
stl_0054,pay_0058,2026-09-02,3110.77,EUR
stl_0055,pay_0059,2026-09-03,3956.37,EUR
stl_0056,pay_0060,2026-09-05,4434.47,EUR
stl_0057,pay_0061,2026-09-04,2209.88,ILS
stl_0058,pay_0062,2026-09-04,12556.06,ILS
stl_0059,pay_0063,2026-09-04,2545.59,USD
stl_0060,pay_0064,2026-09-02,12117.10,ILS
stl_0061,pay_0065,2026-09-03,489.33,EUR
stl_0062,pay_0066,2026-09-03,3473.33,EUR
stl_0063,pay_0067,2026-09-03,4601.93,EUR
